employee_id,first_name,last_name,Phone_number,roles,gender
8637393012,Maria,Castellanos,985 781 2436,Supervisor,Male
3076386158,Homere,Colton,672 369 8132,Construction Manager,Male
1939686911,Nick,Figliovanni,687 425 3761,Construction Expeditor,Male
8364917730,Lucais,Engel,385 144 3603,Construction Worker,Male
4390419005,Steve,Hucklesby,626 429 6972,Architect,Male
11884665,Cassandra,Necolds,314 481 9377,Construction Worker,Male
5762835820,Isaiah,Criple,343 799 9625,Project Manager,Female
7279477860,Alvy,Cobbledick,259 188 7517,Architect,Female
1464611122,Mikel,Randals,586 904 0709,Construction Foreman,Female
9918980893,Hillard,Fishbourn,236 723 3170,Estimator,Male
255776322,Mahmud,Canfield,249 342 8722,Construction Manager,Female
9803916092,Elianore,Canet,101 931 9561,Engineer,Male
3406284639,Willem,Thaller,998 472 7948,Construction Manager,Male
2157139370,Ray,Baythorp,923 765 8334,Construction Expeditor,Male
4662266416,Artus,Hoppner,519 246 0793,Construction Manager,Female
7436124684,Dilan,Boothe,453 928 0312,Engineer,Male
5913586395,Rakel,Boggs,816 350 6553,Supervisor,Male
7969674763,Siana,Andrejevic,212 483 4250,Surveyor,Female
3223852050,Stacee,Tawton,612 118 0083,Supervisor,Female
1618757407,Twila,Jone,441 627 1810,Supervisor,Female
2626493082,Melisa,Pottell,866 756 2889,Supervisor,Female
5452642269,Dunc,Shorten,963 770 0169,Estimator,Male
5208084198,Charlean,Hatto,951 203 7826,Subcontractor,Female
8476615647,Myron,Layfield,508 678 3231,Construction Expeditor,Male
7055593700,Theobald,Elloy,313 996 4570,Construction Foreman,Female
6818301789,Darill,Wethers,593 155 0685,Engineer,Male
7166442158,Lissie,Hitchens,632 707 9372,Electrician,Male
4177225185,Tildie,Laming,544 618 6223,Architect,Male
580345327,Rurik,Westley,869 153 9020,Engineer,Female
1970066237,Rosalinda,Troker,152 846 6011,Engineer,Female
